,s9_q4_hospitalvisit,s2_q21a_powergrid,ownasset_0,s53_q6_hunger,s4_q1_agactivity,urban,hhsize,y_financial_actions
0,1,0,0,0,-1,1,2,1
1,0,1,0,1,0,1,2,0
2,0,0,0,1,0,0,0,0
3,0,1,0,0,0,1,2,0
4,0,1,0,1,0,0,3,1
5,-1,1,0,1,0,0,3,1
6,0,1,0,0,0,1,5,0
7,0,0,1,0,0,0,0,0
8,0,0,1,0,0,0,3,0
9,0,1,0,0,0,0,7,1
10,-1,1,0,1,0,0,8,1
11,0,1,0,0,0,0,0,1
12,0,0,0,0,0,0,0,1
13,0,1,0,0,0,1,1,0
14,0,0,0,0,0,0,6,1
15,0,0,0,0,0,0,5,1
16,0,0,1,1,0,0,3,0
17,-1,0,1,-1,0,0,5,1
18,1,1,1,1,0,0,10,1
19,-1,1,0,1,0,1,1,1
20,0,1,0,1,0,0,7,0
21,0,0,0,0,0,0,2,0
22,0,1,0,1,0,1,4,0
23,0,0,0,1,0,1,5,0
24,1,0,1,0,0,0,5,1
25,0,1,0,0,0,0,5,1
26,-1,0,1,1,0,0,0,0
27,0,0,0,1,0,0,0,0
28,0,0,0,1,0,0,2,0
29,0,0,0,0,0,0,8,1
30,1,1,0,0,0,0,6,0
31,0,1,0,1,0,0,7,0
32,0,0,1,1,0,0,7,0
33,0,0,0,1,0,0,0,0
34,0,0,0,1,0,0,7,1
35,0,0,0,0,0,0,1,0
36,0,0,0,0,0,0,5,0
37,1,1,0,0,0,1,2,0
38,0,1,0,0,0,0,0,0
39,0,0,0,0,0,0,7,0
40,0,0,1,1,0,0,6,1
41,0,1,0,0,0,0,10,0
42,0,0,0,0,0,0,4,0
43,0,0,0,0,0,0,0,0
44,0,1,0,0,0,1,3,0
45,1,0,1,0,0,0,0,0
46,0,1,0,1,0,1,0,0
47,0,0,0,0,0,0,4,0
48,0,1,0,0,0,1,6,0
49,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,2,1
51,0,1,0,0,0,0,0,0
52,-1,0,0,0,0,0,3,0
53,0,0,0,1,0,0,1,0
54,0,0,0,0,0,0,8,0
55,0,0,0,0,0,0,4,0
56,0,1,0,0,0,1,1,0
57,0,1,1,0,0,1,11,0
58,0,0,0,0,1,0,1,1
59,-1,1,0,0,0,1,-1,1
60,0,0,0,0,0,0,0,0
61,0,1,0,0,0,1,6,1
62,-1,0,0,0,0,1,5,1
63,0,1,0,0,0,1,5,0
64,0,1,0,0,0,0,2,0
65,0,0,1,1,0,0,0,0
66,0,0,0,0,0,0,1,0
67,0,1,0,0,0,1,0,0
68,0,1,0,0,0,1,1,1
69,0,0,0,1,0,0,8,0
70,1,1,0,0,0,0,3,0
