wave,urban,hhsize,head_gender,s2_q10_mktcentre,s2_q19_floormat,s2_q20_wallmat,s2_q21a_powergrid,ownasset_0,ownasset_1,ownasset_2,ownasset_3,ownasset_4,s3_q5a_attendchurch,s3_q7_visitother,s53_q6_hunger,s53_q6_staple,s5_q38_worryfood,s5_q42a_meat,s5_q42b_eggs,s5_q2_receivedfood,s5_q4_rent,s7_q2_sendgift,s9_q4_hospitalvisit,s9_q11_medsoutstock,s2_q15b_schoolchildren,s2_q15c_youngchildren,s2_q21_noadults,s2_q23_anyphone,s2_q24_numchild,s2_q2_age,s4_q12_num_ent,s5_q1,s5_q39a_hungryadult,s5_q39b_hungrychild,s5_q3a_food,s5_q3b_personal,s5_q3c_durables,s5_q3d_services,s5_q3e_comms,s5_q3f_housing,s5_q3g_utilities,s5_q3h_transport,s5_q3i_medical,s5_q40a_skippedadult,s5_q40b_skippedchild,s5_q41a_nofoodadult,s5_q41b_nofoodchild,sum_s4_q19_earnings,sum_s4_q19_laidoff,sum_s4_q20_profits,sum_s4_q20_salestrend,sum_s4_q20c_survive,s7_q1_receivegifthh,s4_q1_agactivity
8,1,2,1,1,2,14,1,0,1,0,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,1,3,-1,23,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,3000,0,1000,0,0,1,0
8,1,1,0,1,7,14,1,0,1,1,0,0,-1,-1,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,21,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,23000,0,7000,0,0,0,0
8,1,5,1,1,2,7,1,0,1,1,1,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,28,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,0,0,0,0,0,0,0,0
8,1,5,1,1,2,14,1,0,1,1,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,25,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,0,6000,0,3500,0,0,0,0
8,0,4,0,0,3,6,0,0,1,1,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,42,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,4,0,0,0,0,0,0,0,0,0
8,1,7,1,1,5,5,1,0,1,1,1,0,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,26,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,3600,0,3600,0,0,1,0
8,0,10,0,1,3,7,0,0,0,1,1,0,-1,-1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,1,4,-1,26,2,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,60000,0,12250,0,0,0,1
8,0,3,1,0,5,5,0,1,0,0,0,0,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,40,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,1,0
8,0,5,0,1,3,7,0,0,0,1,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,-1,24,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,0,0,0,0,0,0,0,0,0
8,0,-1,0,1,2,14,0,0,0,1,1,0,-1,-1,0,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,0,4,-1,26,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,20000,0,8000,0,0,0,0
8,1,5,1,1,2,14,1,0,1,1,1,1,-1,-1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,0,3,-1,51,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,0,0,9000,0,2100,0,0,0,0
8,0,2,0,1,5,5,0,1,0,0,0,0,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,4,-1,27,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,-1,40000,0,40000,0,0,0,0
8,0,6,1,0,3,16,0,1,0,0,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,-1,29,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,0
8,1,7,1,1,2,11,1,1,0,0,0,0,-1,-1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,1,3,-1,21,0,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0
8,1,5,1,1,2,15,1,0,0,1,1,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,-1,44,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,5000,0,1500,0,0,0,0
8,0,9,1,0,3,16,1,0,0,1,1,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,55,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,0,0,0,0,0,0,0,0,0
8,0,7,0,1,0,15,1,0,1,1,1,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,4,-1,34,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,3,0,0,25000,0,14000,0,0,0,0
8,1,2,1,1,2,11,1,0,1,1,1,0,-1,-1,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,-1,25,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,5000,0,800,0,0,0,0
8,0,12,0,0,3,1,0,0,1,1,1,0,-1,-1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,1,-1,58,1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,2400,0,200,0,0,0,0
8,0,11,0,1,3,1,1,0,0,1,1,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,2,2,-1,31,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0,0,0,0
8,1,7,0,1,2,15,1,0,0,1,1,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,5,-1,50,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,0,2500,0,600,0,0,0,0
8,0,1,0,1,3,9,0,0,1,1,1,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,-1,34,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,0,-1,0,0,0,0,0,0,0
8,0,5,1,1,3,5,0,1,0,0,0,0,-1,-1,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,35,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0
8,0,8,1,1,3,16,0,0,0,1,0,0,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,29,0,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,0,0,0,0,0,1,0
8,0,1,0,1,3,7,0,1,0,0,0,0,-1,-1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,0,3,-1,26,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,0,0,0,0,0,0,0,0,0
8,1,5,1,1,2,14,1,0,1,1,1,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,35,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,0,0,0,0,0,0,0,0,0
8,1,1,1,1,7,14,1,0,1,1,1,0,-1,-1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,28,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,0,-1,0,0,0,0,0,1,0
8,1,3,0,1,2,7,1,0,0,1,1,0,-1,-1,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,0,3,-1,34,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,5000,0,1500,0,0,0,0
8,1,2,0,1,2,7,1,1,0,0,0,0,-1,-1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,-1,26,-1,-1,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,0,0,4000,0,3000,0,0,0,0
8,0,6,1,0,3,16,0,1,0,0,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,37,-1,-1,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,1,500,0,400,0,0,0,1
8,0,2,1,1,3,16,0,1,0,0,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,24,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,0,-1,0,0,0,0,0,0,0
8,0,14,0,1,3,16,0,1,0,0,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,2,3,-1,37,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,0,0,0,0,0,0,0,0,0
8,1,2,1,1,7,11,1,0,0,1,0,0,-1,-1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,-1,29,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0,0,1,0
8,1,6,0,1,2,15,1,0,0,1,1,0,-1,-1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,41,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,0,0,6000,0,3000,0,0,0,0
8,0,9,1,0,3,11,0,0,1,1,1,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,6,-1,52,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,4,0,0,0,0,0,0,0,0,0
8,0,1,0,1,3,7,0,1,0,0,0,0,-1,-1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,2,-1,28,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,0,-1,0,0,0,0,0,0,0
8,1,4,0,1,2,14,1,0,0,1,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,-1,28,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,0,0,13000,0,4800,0,0,0,0
8,0,8,1,0,3,7,0,1,0,0,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,38,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,0,0,0,0,0,0,0,0,0
8,1,5,0,1,2,14,1,0,0,1,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,1,4,-1,25,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,20000,0,7000,0,0,0,0
8,0,9,1,1,3,5,1,0,1,1,0,0,-1,-1,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,0,2,-1,42,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,26000,0,12000,0,0,0,0
8,1,0,0,1,2,14,1,0,0,1,1,0,-1,-1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,23,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,0,0,0,0,0,0
8,0,4,1,1,2,11,0,1,0,0,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,1,2,-1,28,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,0,0,0,0,0,0,0,0,0
8,0,5,0,0,3,16,1,0,0,1,1,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,-1,30,0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,0,0,0,0,0,0,0,0,0
8,0,0,0,1,3,11,0,1,0,0,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,27,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,3,-1,0,0,0,0,0,0,0
8,0,4,0,0,3,16,1,0,1,1,1,0,-1,-1,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,35,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,0,0,20000,0,9000,0,0,0,0
8,0,5,1,0,3,7,0,1,0,0,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,43,0,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,1,1,0,0,0,0,0,0,0
8,1,4,0,1,2,11,1,1,0,0,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,42,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,0,0,17000,0,5500,0,0,0,0
8,0,5,0,0,3,9,0,0,1,0,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,23,-1,-1,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,0,0,0,1500,0,500,0,0,0,0
8,0,2,0,0,2,7,1,0,0,1,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,28,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,0,0,0,0,0,0,0,0,0
8,0,9,1,1,3,1,0,1,0,0,0,0,-1,-1,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,3,2,-1,22,-1,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,2,2,0,0,0,0,0,0,0
8,1,9,1,1,7,15,1,0,1,1,1,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,3,-1,45,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,0,0,0,0,0,0,0,1,0
8,1,-1,0,1,2,14,1,0,1,1,1,0,-1,-1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,0,2,-1,28,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0,0,0,1,0
